expID,date,loc1,loc2,numLoc,district,distCode,accidentType,weather,vehicleType,personType,ageRange,sex,utmXcoord,utmYcoord,alcoholPositive,person_id,long,lat
2025S022852,2025-02-26T12:35:00Z,"CALLE FUENTE CARRANTONA, 39",,39,Moratalaz,14,Rear-end collision,SKC,passenger car,Passenger,21 to 24 years,Female,446452.0,4473244.0,False,3,-3.6310926575645333,40.40809010400621
2025S022853,2025-02-26T12:10:00Z,"AVDA. NUESTRA SEÑORA DE VALVANERA, 111",,111,Carabanchel,11,Collision with pedestrian,SKC,passenger car,Driver,60 to 64 years,Male,437171.0,4471569.0,False,1,-3.7403010226415554,40.392352275116345
2025S022853,2025-02-26T12:10:00Z,"AVDA. NUESTRA SEÑORA DE VALVANERA, 111",,111,Carabanchel,11,Collision with pedestrian,SKC,passenger car,Pedestrian,Más de 74 years,Male,437171.0,4471569.0,False,2,-3.7403010226415554,40.392352275116345
2025S022856,2025-02-26T11:20:00Z,"PASEO. SANTA MARIA DE LA CABEZA, 83",,83,Arganzuela,2,Head-on collision,SKC,van,Driver,40 to 44 years,Male,440429.0,4472161.0,False,1,-3.701970875516832,40.39792469405807
2025S022856,2025-02-26T11:20:00Z,"PASEO. SANTA MARIA DE LA CABEZA, 83",,83,Arganzuela,2,Head-on collision,SKC,passenger car,Driver,55 to 59 years,Female,440429.0,4472161.0,False,2,-3.701970875516832,40.39792469405807
2025S022866,2025-02-26T12:50:00Z,"CALLE VALLE DE ORO, 19",,19,Carabanchel,11,Rear-end collision,SKC,van,Driver,55 to 59 years,Male,438200.0,4471061.0,False,1,-3.728128176428188,40.387852957528025
2025S022866,2025-02-26T12:50:00Z,"CALLE VALLE DE ORO, 19",,19,Carabanchel,11,Rear-end collision,SKC,passenger car,Driver,70 to 74 years,Male,438200.0,4471061.0,False,2,-3.728128176428188,40.387852957528025
2025S022866,2025-02-26T12:50:00Z,"CALLE VALLE DE ORO, 19",,19,Carabanchel,11,Rear-end collision,SKC,passenger car,Passenger,45 to 49 years,Female,438200.0,4471061.0,False,3,-3.728128176428188,40.387852957528025
2025S022868,2025-02-26T11:57:00Z,CALLE EL BERRUECO,CALLE PIÑUECAR,2,Villaverde,17,Front-to-side collision,SKC,passenger car,Driver,25 to 29 years,Male,439026.0,4465382.0,False,1,-3.717854072417245,40.33675439262132
2025S022868,2025-02-26T11:57:00Z,CALLE EL BERRUECO,CALLE PIÑUECAR,2,Villaverde,17,Front-to-side collision,SKC,passenger car,Driver,65 to 69 years,Male,439026.0,4465382.0,False,2,-3.717854072417245,40.33675439262132
2025S022872,2025-02-26T09:30:00Z,"CALLE LOPEZ DE HOYOS, 299",,299,Ciudad Lineal,15,Front-to-side collision,SKC,van,Driver,40 to 44 years,Male,444001.0,4478777.0,False,1,-3.6604647660066303,40.4577730215526
2025S022872,2025-02-26T09:30:00Z,"CALLE LOPEZ DE HOYOS, 299",,299,Ciudad Lineal,15,Front-to-side collision,SKC,Motocicleta hasta 125cc,Driver,30 to 34 years,Female,444001.0,4478777.0,False,2,-3.6604647660066303,40.4577730215526
2025S022902,2025-02-26T13:38:00Z,07XC90,,07XC90,Moratalaz,14,Side collision,SKC,passenger car,Driver,40 to 44 years,Male,443962.0,4473995.0,False,1,-3.6605030143282087,40.41469164293806
2025S022902,2025-02-26T13:38:00Z,07XC90,,07XC90,Moratalaz,14,Side collision,SKC,passenger car,Driver,40 to 44 years,Male,443962.0,4473995.0,False,2,-3.6605030143282087,40.41469164293806
2025S022922,2025-02-26T14:55:00Z,"CALLE RICARDO ORTIZ, 12",,12,Ciudad Lineal,15,Collision with pedestrian,SKC,Motocicleta hasta 125cc,Driver,30 to 34 years,Male,444182.0,4475616.0,False,1,-3.658052387227201,40.429309283982896
2025S022922,2025-02-26T14:55:00Z,"CALLE RICARDO ORTIZ, 12",,12,Ciudad Lineal,15,Collision with pedestrian,SKC,Motocicleta hasta 125cc,Pedestrian,70 to 74 years,Female,444182.0,4475616.0,False,2,-3.658052387227201,40.429309283982896
2025S022935,2025-02-26T15:10:00Z,"CALLE POETA JOAN MARAGALL, 44",,44,Tetuán,6,Front-to-side collision,SKC,Motocicleta hasta 125cc,Driver,35 to 39 years,Male,441349.0,4479144.0,False,1,-3.691774846419018,40.460896176903105
2025S022935,2025-02-26T15:10:00Z,"CALLE POETA JOAN MARAGALL, 44",,44,Tetuán,6,Front-to-side collision,SKC,passenger car,Driver,55 to 59 years,Male,441349.0,4479144.0,True,2,-3.691774846419018,40.460896176903105
2025S022935,2025-02-26T15:10:00Z,"CALLE POETA JOAN MARAGALL, 44",,44,Tetuán,6,Front-to-side collision,SKC,passenger car,Driver,,,441349.0,4479144.0,False,3,-3.691774846419018,40.460896176903105
2025S022935,2025-02-26T15:10:00Z,"CALLE POETA JOAN MARAGALL, 44",,44,Tetuán,6,Front-to-side collision,SKC,passenger car,Passenger,15 to 17 years,Female,441349.0,4479144.0,False,4,-3.691774846419018,40.460896176903105
2025S022951,2025-02-26T15:10:00Z,CTRA. ESTACION DE HORTALEZA,CALLE MANUEL AZAÑA,56,Hortaleza,16,Rear-end collision,SKC,off-road vehicle,Driver,40 to 44 years,Female,444878.0,4481324.0,False,1,-3.650343168841816,40.480776276746695
2025S022951,2025-02-26T15:10:00Z,CTRA. ESTACION DE HORTALEZA,CALLE MANUEL AZAÑA,56,Hortaleza,16,Rear-end collision,SKC,passenger car,Driver,45 to 49 years,Male,444878.0,4481324.0,False,2,-3.650343168841816,40.480776276746695
2025S022952,2025-02-26T15:00:00Z,"AUTOV. M-30, 11XL30",,11XL30,Puente de Vallecas,13,Rear-end collision,SKC,,Driver,,,442357.0,4471249.0,False,1,-3.679170756574439,40.38984457802577
2025S022952,2025-02-26T15:00:00Z,"AUTOV. M-30, 11XL30",,11XL30,Puente de Vallecas,13,Rear-end collision,SKC,passenger car,Driver,25 to 29 years,Male,442357.0,4471249.0,False,2,-3.679170756574439,40.38984457802577
2025S022952,2025-02-26T15:00:00Z,"AUTOV. M-30, 11XL30",,11XL30,Puente de Vallecas,13,Rear-end collision,SKC,passenger car,Driver,30 to 34 years,Female,442357.0,4471249.0,False,3,-3.679170756574439,40.38984457802577
2025S022952,2025-02-26T15:00:00Z,"AUTOV. M-30, 11XL30",,11XL30,Puente de Vallecas,13,Rear-end collision,SKC,passenger car,Driver,50 to 54 years,Male,442357.0,4471249.0,False,4,-3.679170756574439,40.38984457802577
