id_participacion,num_expediente,fecha,hora,localizacion,numero,cod_distrito,distrito,wikidata_distrito_uri,wikidata_distrito_qid,tipo_accidente,estado_meteorológico,tipo_vehiculo,tipo_persona,rango_edad,sexo,cod_lesividad,lesividad,coordenada_x_utm,coordenada_y_utm,positiva_alcohol,positiva_droga
2024S025284-31748,2024S025284,2024-09-04,7:30:00,A-3 Entrada Km 6-lateral - Bajo M-40,+00400E,14,Moratalaz,http://www.wikidata.org/entity/Q2076109,Q2076109,Caída,Despejado,Motocicleta > 125cc,Conductor,De 35 A 39 Años,Desconocido,7,Asistencia Sanitaria Sólo En El Lugar Del Accidente,446624,4471534,,
2024S025285-31749,2024S025285,2024-09-04,8:44:00,"Avda. Ciudad De Barcelona, 97",97,3,Retiro,http://www.wikidata.org/entity/Q2002296,Q2002296,Caída,Despejado,Motocicleta Hasta 125cc,Conductor,De 35 A 39 Años,Desconocido,14,Sin Asistencia Sanitaria,442942,4472375,,
2024S025285-31750,2024S025285,2024-09-04,8:44:00,"Avda. Ciudad De Barcelona, 97",97,3,Retiro,http://www.wikidata.org/entity/Q2002296,Q2002296,Caída,Despejado,Motocicleta Hasta 125cc,Pasajero,De 30 A 34 Años,Desconocido,1,Atención En Urgencias Sin Posterior Ingreso,442942,4472375,,
2024S025286-31751,2024S025286,2024-09-04,9:20:00,Call. Enrique Lafuente Ferrari / Cmno. Huerta,2,16,Hortaleza,http://www.wikidata.org/entity/Q1928529,Q1928529,Colisión Fronto-lateral,Despejado,Furgoneta,Conductor,De 45 A 49 Años,Desconocido,14,Sin Asistencia Sanitaria,445653,4484180,,
2024S025286-31752,2024S025286,2024-09-04,9:20:00,Call. Enrique Lafuente Ferrari / Cmno. Huerta,2,16,Hortaleza,http://www.wikidata.org/entity/Q1928529,Q1928529,Colisión Fronto-lateral,Despejado,Motocicleta Hasta 125cc,Conductor,De 45 A 49 Años,Desconocido,1,Atención En Urgencias Sin Posterior Ingreso,445653,4484180,,
2024S025289-31753,2024S025289,2024-09-04,10:15:00,"Call. Villafuerte, 39",39,17,Villaverde,http://www.wikidata.org/entity/Q919536,Q919536,Choque Contra Obstáculo Fijo,Despejado,Turismo,Conductor,De 30 A 34 Años,Desconocido,14,Sin Asistencia Sanitaria,441441,4467507,,
2024S025291-31754,2024S025291,2024-09-04,10:15:00,"Call. Juan Daniel Fullaondo, 22",22,16,Hortaleza,http://www.wikidata.org/entity/Q1928529,Q1928529,Caída,Despejado,Bicicleta,Conductor,De 65 A 69 Años,Desconocido,6,Asistencia Sanitaria Inmediata En Centro De Salud O Mutua,446708,4481298,,
2024S025292-31755,2024S025292,2024-09-04,11:00:00,Call. Juan Peñalver / Call. Sulfato,4,17,Villaverde,http://www.wikidata.org/entity/Q919536,Q919536,Caída,Despejado,Motocicleta Hasta 125cc,Conductor,De 50 A 54 Años,Desconocido,14,Sin Asistencia Sanitaria,439404,4466523,,
2024S025292-31756,2024S025292,2024-09-04,11:00:00,Call. Juan Peñalver / Call. Sulfato,4,17,Villaverde,http://www.wikidata.org/entity/Q919536,Q919536,Caída,Despejado,Turismo,Conductor,De 25 A 29 Años,Desconocido,14,Sin Asistencia Sanitaria,439404,4466523,,
2024S025292-31757,2024S025292,2024-09-04,11:00:00,Call. Juan Peñalver / Call. Sulfato,4,17,Villaverde,http://www.wikidata.org/entity/Q919536,Q919536,Caída,Despejado,Turismo,Conductor,Desconocido,Desconocido,,,439404,4466523,,
2024S025294-31758,2024S025294,2024-09-04,10:35:00,"Avda. Padre Huidobro, 5",5,9,Moncloa-Aravaca,http://www.wikidata.org/entity/Q2017682,Q2017682,Choque Contra Obstáculo Fijo,,Furgoneta,Conductor,De 30 A 34 Años,Desconocido,14,Sin Asistencia Sanitaria,436988,4478354,,
2024S025294-31759,2024S025294,2024-09-04,10:35:00,"Avda. Padre Huidobro, 5",5,9,Moncloa-Aravaca,http://www.wikidata.org/entity/Q2017682,Q2017682,Choque Contra Obstáculo Fijo,,Furgoneta,Pasajero,De 18 A 20 Años,Desconocido,,,436988,4478354,,
2024S025295-31760,2024S025295,2024-09-04,11:00:00,Avda Puerta De Hierro,1,9,Moncloa-Aravaca,http://www.wikidata.org/entity/Q2017682,Q2017682,Alcance,Despejado,Furgoneta,Conductor,De 55 A 59 Años,Desconocido,7,Asistencia Sanitaria Sólo En El Lugar Del Accidente,437657,4477640,,
