idTram,infoDisponible,data,tempsActual,tempsPrevist,tempsRecorregutFutur,factorReferenciaActual,tendencia
41,0,20250801010053,0,0,-1,-1,-1
42,1,20250801010053,207,207,1,1,1
43,0,20250801010053,0,0,-1,-1,-1
44,0,20250801010053,0,0,-1,-1,-1
45,0,20250801010053,0,0,-1,-1,-1
46,0,20250801010053,0,0,-1,-1,-1
47,1,20250801010053,180,180,1,1,1
48,0,20250801010053,0,0,-1,-1,-1
49,1,20250801010053,304,304,1,1,1
50,1,20250801010053,190,190,1,1,1
51,1,20250801010053,269,269,1,1,1
52,1,20250801010053,299,299,1,1,1
53,1,20250801010053,149,149,1,1,1
54,1,20250801010053,164,164,1,1,1
55,1,20250801010053,0,0,-1,-1,-1
56,1,20250801010053,0,0,-1,-1,-1
57,1,20250801010053,0,0,-1,-1,-1
58,1,20250801010053,0,0,-1,-1,-1
59,1,20250801010053,0,0,-1,-1,-1
60,1,20250801010053,415,415,1,1,1
61,1,20250801010053,285,284,1,1,1
62,0,20250801010053,1108,1108,1,1,1
63,0,20250801010053,0,0,-1,-1,-1
64,0,20250801010053,0,0,-1,-1,-1
65,1,20250801010053,133,130,1,1,1
66,1,20250801010053,0,0,-1,-1,-1
67,1,20250801010053,212,207,1,1,1
68,1,20250801010053,119,120,1,1,1
69,1,20250801010053,132,134,1,1,1
70,1,20250801010053,142,137,0,1,2
71,0,20250801010053,95,96,1,1,1
72,0,20250801010053,181,178,1,1,1
73,0,20250801010053,116,115,1,1,1
74,0,20250801010053,195,117,0,0,1
75,0,20250801010053,242,230,1,1,1
76,0,20250801010053,81,86,1,1,1
77,1,20250801010053,430,431,1,1,1
78,1,20250801010053,425,425,1,1,1
1,1,20250801011553,301,299,1,1,1
2,1,20250801011553,0,0,-1,-1,-1
3,1,20250801011553,304,304,1,1,1
4,1,20250801011553,324,324,1,1,1
5,1,20250801011553,174,174,1,1,1
6,1,20250801011553,275,275,1,1,1
7,1,20250801011553,185,186,1,1,1
8,0,20250801011553,0,0,-1,-1,-1
9,0,20250801011553,0,0,-1,-1,-1
10,1,20250801011553,171,171,1,1,1
