ESTACION,MAGNITUD,pollutantLabel,Pollutant_URI,PUNTO_MUESTREO,H01,V01,H02,V02,H03,V03,H04,V04,H05,V05,H06,V06,H07,V07,H08,V08,H09,V09,H10,V10,H11,V11,H12,V12,H13,V13,H14,V14,H15,V15,H16,V16,H17,V17,H18,V18,H19,V19,H20,V20,H21,V21,H22,V22,H23,V23,H24,V24
49,14,ozone,https://www.wikidata.org/entity/Q36933,28079049_14_6,77,V,63,V,66,V,75,V,70,V,64,V,59,V,56,V,54,V,51,V,59,V,71,V,79,V,84,V,88,V,87,V,85,V,80,V,77,V,65,V,58,V,64,V,66,V,0,N
49,7,nitric oxide,https://www.wikidata.org/entity/Q207843,28079049_7_8,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,1,V,2,V,1,V,1,V,1,V,1,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,N
49,8,nitrogen dioxide,https://www.wikidata.org/entity/Q207895,28079049_8_8,8,V,17,V,12,V,5,V,5,V,6,V,11,V,17,V,21,V,25,V,19,V,11,V,8,V,8,V,6,V,5,V,5,V,8,V,7,V,12,V,21,V,15,V,9,V,0,N
50,10,PM10 (including PM 2.5),https://www.wikidata.org/entity/Q48035511,28079050_10_47,14,V,11,V,10,V,11,V,9,V,11,V,11,V,12,V,13,V,16,V,20,V,16,V,18,V,17,V,14,V,3,V,10,V,13,V,15,V,9,V,11,V,16,V,11,V,0,N
50,12,NOx,https://www.wikidata.org/entity/Q20962970,28079050_12_8,10,V,11,V,5,V,5,V,6,V,6,V,10,V,14,V,20,V,18,V,14,V,12,V,11,V,11,V,7,V,8,V,8,V,13,V,14,V,15,V,16,V,10,V,6,V,0,N
50,7,nitric oxide,https://www.wikidata.org/entity/Q207843,28079050_7_8,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,1,V,2,V,2,V,1,V,1,V,2,V,1,V,1,V,1,V,1,V,0,V,0,V,0,V,0,V,0,V,0,N
50,8,nitrogen dioxide,https://www.wikidata.org/entity/Q207895,28079050_8_8,10,V,11,V,5,V,5,V,6,V,6,V,10,V,13,V,19,V,16,V,11,V,9,V,9,V,9,V,6,V,7,V,7,V,11,V,14,V,15,V,16,V,10,V,6,V,0,N
50,9,PM 2.5,https://www.wikidata.org/entity/Q48035814,28079050_9_47,7,V,6,V,5,V,5,V,3,V,5,V,5,V,5,V,4,V,5,V,8,V,6,V,6,V,6,V,4,V,0,V,3,V,5,V,6,V,1,V,4,V,8,V,3,V,0,N
54,10,PM10 (including PM 2.5),https://www.wikidata.org/entity/Q48035511,28079054_10_A,26,V,16,V,21,V,25,V,26,V,25,V,12,V,20,V,25,V,25,V,27,V,26,V,27,V,23,V,24,V,20,V,18,V,22,V,23,V,19,V,22,V,30,V,25,V,0,N
54,12,NOx,https://www.wikidata.org/entity/Q20962970,28079054_12_8,8,V,11,V,10,V,13,V,13,V,14,V,24,V,38,V,51,V,40,V,26,V,25,V,21,V,12,V,12,V,15,V,17,V,21,V,34,V,37,V,30,V,17,V,12,V,0,N
54,14,ozone,https://www.wikidata.org/entity/Q36933,28079054_14_6,77,V,69,V,65,V,57,V,58,V,54,V,48,V,40,V,36,V,45,V,58,V,65,V,75,V,84,V,90,V,88,V,88,V,80,V,67,V,59,V,59,V,66,V,64,V,0,N
54,7,nitric oxide,https://www.wikidata.org/entity/Q207843,28079054_7_8,0,V,0,V,0,V,0,V,0,V,0,V,1,V,4,V,8,V,6,V,4,V,5,V,4,V,2,V,2,V,2,V,3,V,4,V,5,V,4,V,3,V,1,V,0,V,0,N
54,8,nitrogen dioxide,https://www.wikidata.org/entity/Q207895,28079054_8_8,8,V,11,V,10,V,13,V,13,V,14,V,22,V,33,V,40,V,30,V,19,V,18,V,15,V,9,V,9,V,12,V,13,V,15,V,26,V,31,V,25,V,15,V,11,V,0,N
54,9,PM 2.5,https://www.wikidata.org/entity/Q48035814,28079054_9_A,6,V,5,V,8,V,8,V,10,V,8,V,5,V,10,V,12,V,12,V,9,V,7,V,8,V,9,V,11,V,8,V,8,V,9,V,7,V,8,V,10,V,9,V,6,V,0,N
56,10,PM10 (including PM 2.5),https://www.wikidata.org/entity/Q48035511,28079056_10_47,20,V,18,V,20,V,17,V,14,V,19,V,22,V,25,V,29,V,32,V,31,V,32,V,24,V,32,V,16,V,17,V,18,V,15,V,22,V,23,V,18,V,16,V,23,V,0,N
56,12,NOx,https://www.wikidata.org/entity/Q20962970,28079056_12_8,21,V,24,V,20,V,20,V,19,V,20,V,49,V,86,V,86,V,74,V,53,V,37,V,36,V,39,V,39,V,38,V,46,V,61,V,77,V,80,V,78,V,52,V,34,V,0,N
