fecha,cod_municipio,municipio,cod_distrito,distrito,cod_barrio,barrio,num_personas,num_personas_hombres,num_personas_mujeres
2023-01-01T00:00:00Z,28079,Madrid,8,Fuencarral-el Pardo,82,Fuentelarreina,341,1559,1851
2023-01-01T00:00:00Z,28079,Madrid,8,Fuencarral-el Pardo,83,Penagrande,44341,20597,23744
2023-01-01T00:00:00Z,28079,Madrid,8,Fuencarral-el Pardo,84,Pilar,4561,2072,2489
2023-01-01T00:00:00Z,28079,Madrid,8,Fuencarral-el Pardo,85,Lapaz,32192,14964,17228
2023-01-01T00:00:00Z,28079,Madrid,8,Fuencarral-el Pardo,86,Valverde,64757,30851,33906
2023-01-01T00:00:00Z,28079,Madrid,8,Fuencarral-el Pardo,87,Mirasierra,35676,1716,18516
2023-01-01T00:00:00Z,28079,Madrid,8,Fuencarral-el Pardo,88,Elgoloso,19036,9377,9659
2023-01-01T00:00:00Z,28079,Madrid,9,Moncloa-aravaca,91,Casadecampo,12767,5958,6809
2023-01-01T00:00:00Z,28079,Madrid,9,Moncloa-aravaca,92,Argüelles,24497,11207,1329
2023-01-01T00:00:00Z,28079,Madrid,9,Moncloa-aravaca,93,Ciudaduniversitaria,16364,7603,8761
2023-01-01T00:00:00Z,28079,Madrid,9,Moncloa-aravaca,94,Valdezarza,30484,14001,16483
2023-01-01T00:00:00Z,28079,Madrid,9,Moncloa-aravaca,95,Valdemarin,7156,3339,3817
2023-01-01T00:00:00Z,28079,Madrid,9,Moncloa-aravaca,96,Elplantio,3044,1413,1631
2023-01-01T00:00:00Z,28079,Madrid,9,Moncloa-aravaca,97,Aravaca,27445,12836,14609
2023-01-01T00:00:00Z,28079,Madrid,10,Latina,101,Loscarmenes,17903,8484,9419
2023-01-01T00:00:00Z,28079,Madrid,10,Latina,102,Puertadelangel,43292,20165,23127
2023-01-01T00:00:00Z,28079,Madrid,10,Latina,103,Lucero,36749,17156,19593
2023-01-01T00:00:00Z,28079,Madrid,10,Latina,104,Aluche,66588,30384,36204
2023-01-01T00:00:00Z,28079,Madrid,10,Latina,105,Campamento,1975,9111,10639
2023-01-01T00:00:00Z,28079,Madrid,10,Latina,106,Cuatrovientos,6122,3068,3054
2023-01-01T00:00:00Z,28079,Madrid,10,Latina,107,Águilas,51268,23725,27543
2023-01-01T00:00:00Z,28079,Madrid,11,Carabanchel,111,Comillas,22721,10491,1223
2023-01-01T00:00:00Z,28079,Madrid,11,Carabanchel,112,Opanel,33883,15556,18327
2023-01-01T00:00:00Z,28079,Madrid,11,Carabanchel,113,Sanisidro,40368,18969,21399
2023-01-01T00:00:00Z,28079,Madrid,11,Carabanchel,114,Vistaalegre,47727,21823,25904
2023-01-01T00:00:00Z,28079,Madrid,11,Carabanchel,115,Puertabonita,36798,17349,19449
2023-01-01T00:00:00Z,28079,Madrid,11,Carabanchel,116,Buenavista,49151,23733,25418
2023-01-01T00:00:00Z,28079,Madrid,11,Carabanchel,117,Abrantes,31691,14711,1698
2023-01-01T00:00:00Z,28079,Madrid,12,Usera,121,Orcasitas,23085,109,12185
2023-01-01T00:00:00Z,28079,Madrid,12,Usera,122,Orcasur,1439,6987,7403
2023-01-01T00:00:00Z,28079,Madrid,12,Usera,123,Sanfermin,23598,11246,12352
2023-01-01T00:00:00Z,28079,Madrid,12,Usera,124,Almendrales,22834,10755,12079
2023-01-01T00:00:00Z,28079,Madrid,12,Usera,125,Moscardo,26579,12531,14048
2023-01-01T00:00:00Z,28079,Madrid,12,Usera,126,Zofio,14382,6681,7701
2023-01-01T00:00:00Z,28079,Madrid,12,Usera,127,Pradolongo,17878,8438,944
2023-01-01T00:00:00Z,28079,Madrid,13,Puente De Vallecas,131,Entrevias,35399,16976,18423
2023-01-01T00:00:00Z,28079,Madrid,13,Puente De Vallecas,132,Sandiego,45104,21593,23511
2023-01-01T00:00:00Z,28079,Madrid,13,Puente De Vallecas,133,Palomerasbajas,40477,18947,2153
2023-01-01T00:00:00Z,28079,Madrid,13,Puente De Vallecas,134,Palomerassureste,43162,20491,22671
2023-01-01T00:00:00Z,28079,Madrid,13,Puente De Vallecas,135,Portazgo,28741,13471,1527
2023-01-01T00:00:00Z,28079,Madrid,13,Puente De Vallecas,136,Numancia,4872,23064,25656
2023-01-01T00:00:00Z,28079,Madrid,14,Moratalaz,141,Pavones,8814,4035,4779
2023-01-01T00:00:00Z,28079,Madrid,14,Moratalaz,142,Horcajo,6339,3029,331
2023-01-01T00:00:00Z,28079,Madrid,14,Moratalaz,143,Marroquina,2612,11962,14158
2023-01-01T00:00:00Z,28079,Madrid,14,Moratalaz,144,Medialegua,17323,7828,9495
2023-01-01T00:00:00Z,28079,Madrid,14,Moratalaz,145,Fontarron,17333,7876,9457
2023-01-01T00:00:00Z,28079,Madrid,14,Moratalaz,146,Vinateros,16885,7482,9403
2023-01-01T00:00:00Z,28079,Madrid,15,Ciudad Lineal,151,Ventas,50218,22868,2735
2023-01-01T00:00:00Z,28079,Madrid,15,Ciudad Lineal,152,Pueblonuevo,6284,28982,33858
2023-01-01T00:00:00Z,28079,Madrid,15,Ciudad Lineal,153,Quintana,25469,11449,1402
2023-01-01T00:00:00Z,28079,Madrid,15,Ciudad Lineal,154,Concepcion,20941,9402,11539
2023-01-01T00:00:00Z,28079,Madrid,15,Ciudad Lineal,155,Sanpascual,18327,8349,9978
2023-01-01T00:00:00Z,28079,Madrid,15,Ciudad Lineal,156,Sanjuanbautista,12445,5813,6632
2023-01-01T00:00:00Z,28079,Madrid,15,Ciudad Lineal,157,Colina,6569,2973,3596
2023-01-01T00:00:00Z,28079,Madrid,15,Ciudad Lineal,158,Atalaya,1622,691,931
2023-01-01T00:00:00Z,28079,Madrid,15,Ciudad Lineal,159,Costillares,21914,10232,11682
