num_expediente,fecha,hora,localizacion,numero,cod_distrito,distrito,same_as_wikidata_distrito,tipo_accidente,estado_meteorológico,tipo_vehiculo,same_as_wikidata_tipo_vehiculo,tipo_persona,rango_edad,sexo,same_as_wikidata_sexo,cod_lesividad,lesividad,coordenada_x_utm,coordenada_y_utm,positiva_alcohol,positiva_droga
2025S042757,2025-04-14T00:00:00Z,22:45,call. alcala / plaza. cibeles,1,1,centro,https://www.wikidata.org/entity/Q1763376,colision fronto-lateral,lluvia debil,motorcycle,https://www.wikidata.org/entity/Q34493,conductor,30-34,man,https://www.wikidata.org/entity/Q8441,,,441147,4474523,false,
2025S042757,2025-04-14T00:00:00Z,22:45,call. alcala / plaza. cibeles,1,1,centro,https://www.wikidata.org/entity/Q1763376,colision fronto-lateral,lluvia debil,passenger car,https://www.wikidata.org/entity/Q1144312,conductor,55-59,man,https://www.wikidata.org/entity/Q8441,,,441147,4474523,false,
2025S042758,2025-04-14T00:00:00Z,22:45,"call. gran via, 2",2,1,centro,https://www.wikidata.org/entity/Q1763376,alcance,nublado,,,conductor,25-29,woman,https://www.wikidata.org/entity/Q467,,,440836,4474509,false,
2025S042758,2025-04-14T00:00:00Z,22:45,"call. gran via, 2",2,1,centro,https://www.wikidata.org/entity/Q1763376,alcance,nublado,passenger car,https://www.wikidata.org/entity/Q1144312,conductor,45-49,man,https://www.wikidata.org/entity/Q8441,,,440836,4474509,false,
2025S042768,2025-04-14T00:00:00Z,23:15,"autov. m-30, 01xl90",01XL90,15,ciudad lineal,https://www.wikidata.org/entity/Q1763694,colision fronto-lateral,lluvia debil,passenger car,https://www.wikidata.org/entity/Q1144312,conductor,30-34,man,https://www.wikidata.org/entity/Q8441,,,443266,4479964,false,
2025S042768,2025-04-14T00:00:00Z,23:15,"autov. m-30, 01xl90",01XL90,15,ciudad lineal,https://www.wikidata.org/entity/Q1763694,colision fronto-lateral,lluvia debil,passenger car,https://www.wikidata.org/entity/Q1144312,conductor,35-39,man,https://www.wikidata.org/entity/Q8441,,,443266,4479964,false,
2025S042827,2025-04-14T00:00:00Z,14:00,avda. daroca / avda. trece rosas,89,15,ciudad lineal,https://www.wikidata.org/entity/Q1763694,colision fronto-lateral,nublado,panel van,https://www.wikidata.org/entity/Q357884,conductor,50-54,man,https://www.wikidata.org/entity/Q8441,5,asistencia sanitaria ambulatoria con posterioridad,445201,4475209,false,
2025S042827,2025-04-14T00:00:00Z,14:00,avda. daroca / avda. trece rosas,89,15,ciudad lineal,https://www.wikidata.org/entity/Q1763694,colision fronto-lateral,nublado,passenger car,https://www.wikidata.org/entity/Q1144312,conductor,50-54,man,https://www.wikidata.org/entity/Q8441,14,sin asistencia sanitaria,445201,4475209,false,
2025S042953,2025-04-14T00:00:00Z,13:25,"avda. albufera, 270 con c/rafael alberti",270,13,puente de vallecas,https://www.wikidata.org/entity/Q2003054,colision fronto-lateral,despejado,passenger car,https://www.wikidata.org/entity/Q1144312,conductor,30-34,woman,https://www.wikidata.org/entity/Q467,,,445632,4470963,false,
2025S042953,2025-04-14T00:00:00Z,13:25,"avda. albufera, 270 con c/rafael alberti",270,13,puente de vallecas,https://www.wikidata.org/entity/Q2003054,colision fronto-lateral,despejado,passenger car,https://www.wikidata.org/entity/Q1144312,conductor,70-74,man,https://www.wikidata.org/entity/Q8441,,,445632,4470963,false,
